page_title,users_reverted_past_3_months
2022 Uttar Pradesh Legislative Assembly election,108
2022 Uttar Pradesh Legislative Assembly election,38
2022 Uttar Pradesh Legislative Assembly election,34
2022 Uttar Pradesh Legislative Assembly election,30
2022 Uttar Pradesh Legislative Assembly election,29
2022 Uttar Pradesh Legislative Assembly election,27
2022 Uttar Pradesh Legislative Assembly election,26
2022 Uttar Pradesh Legislative Assembly election,26
2022 Uttar Pradesh Legislative Assembly election,26
2022 Uttar Pradesh Legislative Assembly election,24
