page_id,page_title,users_reverted_2021
1027240,Biryani,142
56315,Mango,118
29969,Tea,97
429272,Chicken tikka masala,83
1351345,Momo (food),50
359147,Dosa,47
390616,Kebab,44
1344920,Panipuri,39
30767457,Zomato,36
535399,Samosa,32
45097732,Patanjali Ayurved,28
413472,Idli,25
346865,Basil,24
3046460,Kofta,24
42870316,Ghost pepper,23
17917891,Durian,22
74549,Pomegranate,22
50469,Garlic,21
1270756,Jalebi,20
17258587,Diet in Hinduism,20
1364733,Basmati,19
14881490,Chicken 65,18
8075353,Kharif crop,17
61505257,Swiggy,16
1947171,Falooda,15
316726,Amul,15
212394,Ghee,15
608980,Butter chicken,15
63520964,Dalgona coffee,14
3904883,Kerala cuisine,14
47862905,Paratha,14
2122837,Ocimum tenuiflorum,13
150116,Black pepper,13
519163,Bengali cuisine,13
182802,Halva,13
875125,Midday Meal Scheme,12
977446,Gulab jamun,12
1028614,Nelumbo nucifera,12
9601974,Chicken curry,11
62697023,National Institute of Food Technology Entrepreneurship and Management,11
39029,Bamboo,11
4632952,Shilajit,11
581997,Pilaf,11
47862923,Dal,11
2298280,Pav bhaji,11
2029981,Rasgulla,11
1954027,Phyllanthus emblica,10
589702,Sambar (dish),10
5677760,Ras malai,10
2332686,Chicken tikka,10
9027421,Jhatka,10
6071468,Naga Morich,10
16187981,Chomchom,9
46469807,Masala dosa,9
48435328,Gaggan (restaurant),9
13107093,Mughlai cuisine,9
6260662,Mishti doi,9
45464126,ITC Limited,9
47862925,Parotta,9
227931,Tamarind,9
