page_title,number_users_reverted_Dec_2021,interesting
Bipin Rawat,94,YES
Bigg Boss (Tamil season 5),85,
Beast (2022 film),72,
83 (film),58,
Akhanda,52,
Tadap (2021 film),47,
Harnaaz Sandhu,45,YES
Pushpa: The Rise,40,
Tejasswi Prakash,36,
Marakkar: Lion of the Arabian Sea,29,
Naagin (2015 TV series),26,
Antim: The Final Truth,25,
Indian cricket team in South Africa in 2021–22,25,
2021 Indian Air Force Mil Mi-17 crash,25,YES
Satyameva Jayate 2,23,
Vicky Kaushal,23,
Cochin International Airport,23,
Chandigarh Kare Aashiqui,22,
Shyam Singha Roy,21,
Madhura Raja,20,
Vishal (actor),20,
Ashwin Kumar Lakshmikanthan,19,
Yuvan Shankar Raja,19,
Singh,19,
Manoj Mukund Naravane,19,
Rashmika Mandanna,18,
Disha Patani,18,
Sukumara Kurup,18,
Katrina Kaif,18,
Chief of Defence Staff (India),18,
Sunny Kaushal,18,
Radhe (2021 film),17,
Master (2021 film),17,
Rajiv Gandhi International Airport,17,
Brahmāstra (film),17,
Harbhajan Singh,17,
HAL Tejas,16,
Mohammed Shami,16,
IndiGo,16,
Chairman of the Chiefs of Staff Committee,16,
Shehnaaz Gill,15,
Kempegowda International Airport,15,
Kundali Bhagya,15,
Darbar (film),15,
Kerala Varma Pazhassi Raja (film),15,
Survivor (Tamil TV series),15,
Vana Parva,15,
Dulquer Salmaan,14,
Suhani Shah,14,
Karnataka Legislative Assembly,14,
Ghum Hai Kisikey Pyaar Meiin,13,
K.G.F: Chapter 1,13,
Hyderabad,13,
Krithi Shetty,13,
Puneeth Rajkumar,13,
Rajneesh,13,
Dhoom 3,13,
Vijay (actor),13,
2020–2021 China–India skirmishes,13,
Gita Gopinath,13,
