page_title,number_users_reverted_Jun_2021
Lok Janshakti Party,25
All India Trinamool Congress,24
2022 Uttar Pradesh Legislative Assembly election,23
Next Indian general election,20
2022 Indian presidential election,14
K. Surendran (politician),14
Fundamental rights in India,13
Union Council of Ministers,12
Sharad Pawar,12
J. Jayalalithaa,11
Lalu Prasad Yadav,11
Operation Blue Star,11
Lok Sabha,10
Etela Rajender,10
Jitin Prasada,10
Communist Party of India (Marxist),9
Uttar Pradesh Legislative Assembly,9
Harit Pradesh,9
Chandra Shekhar,9
K. Sudhakaran,9
Pawan Kalyan,8
Proposed states and union territories of India,8
Chirag Paswan,8
2019 Indian general election,8
Amarinder Singh,8
Puducherry Legislative Assembly,8
Mohan Bhagwat,8
Indigenous Aryanism,8
Maneka Gandhi,8
Harsh Vardhan (Uttar Pradesh politician),8
Muhammad Iqbal,7
West Bengal Legislative Assembly,7
Edappadi K. Palaniswami,7
Narendra Modi,7
Partition of India,7
Rajendra Prasad,7
M. G. Ramachandran,7
OpIndia,7
Rabri Devi,7
Karthik (actor),7
Mukul Roy,7
Chiranjeevi,6
All India Anna Dravida Munnetra Kazhagam,6
Arvind Kejriwal,6
Praful Khoda Patel,6
Venkaiah Naidu,6
Nitish Kumar,6
Lala Lajpat Rai,6
N. T. Rama Rao,6
Pranab Mukherjee,6
L. K. Advani,6
Hindu Mahasabha,6
Sachin Pilot,6
Harekrushna Mahatab,6
2021 Tamil Nadu Legislative Assembly election,5
2021 West Bengal Legislative Assembly election,5
Chandra Shekhar Azad,5
Vallabhbhai Patel,5
"Louis Mountbatten, 1st Earl Mountbatten of Burma",5
Sunil Dutt,5
