page_title,number_users_reverted_May_2021
2021 Tamil Nadu Legislative Assembly election,36
Praful Khoda Patel,34
K. K. Balakrishnan,28
All India Trinamool Congress,26
Edappadi K. Palaniswami,22
Next Indian general election,21
All India Anna Dravida Munnetra Kazhagam,21
West Bengal Legislative Assembly,20
Mohammad Shahabuddin,20
Lalu Prasad Yadav,19
V. Sivankutty,19
Naam Tamilar Katchi,18
Suvendu Adhikari,18
Lok Sabha,17
Prashant Kishor,16
Communist Party of India (Marxist),14
Azam Khan (politician),14
K. R. Gouri Amma,14
Other Backward Class,13
2022 Uttar Pradesh Legislative Assembly election,12
Tejasvi Surya,12
Second C. Achutha Menon ministry,12
2021 West Bengal Legislative Assembly election,11
Vinayak Damodar Savarkar,10
Chirag Paswan,10
Sambit Patra,10
Chiranjeevi,9
Rakesh Tikait,9
Dravida Munnetra Kazhagam,9
J. Jayalalithaa,9
Alauddin Khalji,9
K. Surendran (politician),9
Tamil Nadu Legislative Assembly,9
Etela Rajender,9
Member of the Legislative Assembly (India),9
United Democratic Front (Kerala),9
Nandigram (Vidhan Sabha constituency),9
Ajit Singh (politician),9
Partition of India,8
Uddhav Thackeray,8
Nitish Kumar,8
Khushbu,8
Puducherry Legislative Assembly,8
K. K. Shailaja,8
All India Majlis-e-Ittehadul Muslimeen,7
Vallabhbhai Patel,7
National Democratic Alliance,7
Mamata Banerjee,7
Sunil Dutt,7
2019 Indian general election,7
Vijay Rupani,7
Narendra Modi,6
2021 elections in India,6
2022 Indian presidential election,6
N. Chandrababu Naidu,6
OpIndia,6
Kerala Congress,6
Direct Action Day,6
United Progressive Alliance,6
Rajasthan Legislative Assembly,6
