page_title,number_users_reverted_Oct_2021
2022 Uttar Pradesh Legislative Assembly election,29
Rajya Sabha,21
2021 elections in India,17
Chiranjeevi,15
2021 West Bengal Legislative Assembly election,13
2022 Goa Legislative Assembly election,13
All India Trinamool Congress,12
Dharmendra,12
Bihar Legislative Assembly,10
Michael O'Dwyer,10
Pawan Kalyan,9
Vallabhbhai Patel,9
Uttar Pradesh Legislative Assembly,9
Lakhimpur Kheri violence,9
Muhammad Iqbal,8
Alauddin Khalji,8
Madan Mohan Malaviya,8
Lal Bahadur Shastri,8
Mohan Babu,8
Next Telangana Legislative Assembly election,8
J. Jayalalithaa,7
Naam Tamilar Katchi,7
M. G. Ramachandran,7
National Democratic Alliance,7
Lala Lajpat Rai,7
Goa Legislative Assembly,7
2013 Muzaffarnagar riots,7
Tripura Legislative Assembly,7
2021 Tamil Nadu Legislative Assembly election,6
Partition of India,6
Proposed states and union territories of India,6
Prashant Kishor,6
Secularism in India,6
Manohar Lal Khattar,6
Bangaon (Lok Sabha constituency),6
Mahagathbandhan (Bihar),6
Praja Rajyam Party,6
Local elections in Tamil Nadu,6
Narendra Modi,5
Rakesh Tikait,5
Nandamuri Balakrishna,5
Chandra Shekhar Azad,5
Mamata Banerjee,5
Sarojini Naidu,5
N. T. Rama Rao,5
Hari Singh,5
Mahatma Gandhi,5
Samajwadi Party,5
Veerappan,5
T. Rajendar,5
Pattali Makkal Katchi,5
Rajesh Khanna,5
Deendayal Upadhyaya,5
Garhwal (Lok Sabha constituency),5
All India Majlis-e-Ittehadul Muslimeen,4
Nirmala Sitharaman,4
2008 Mumbai attacks,4
Syed Ali Shah Geelani,4
Rajendra Prasad,4
2021 Indian farmers' Republic Day violence,4
